Nom_Intersection,Longitude,Latitude,total
Desautels / Sherbrooke,-73.630449,45.502849,14755
Decelles / Van Horne,-73.622905,45.511472,9062
Boisé / Northcrest/Van Horne,-73.596443,45.494913,8378
McDougall / The Boulevard,-73.587933,45.496396,8239
Côte-des-Neiges / Pins . Int Est,-73.644004,45.529511,8607
Acadie / Liège,-73.61956,45.527386,23051
Beaumont / Querbes,-73.635329,45.531977,5152
Jarry / Querbes,-73.626571,45.506987,11508
avenue Linton / avenue Van Horne,-73.627817,45.524743,7810
boulevard de l' Acadie / avenue Ogilvy,-73.658984,45.558391,17156
Fleury / Georges-Baril,-73.668183,45.558653,7032
Gouin / Saint-Hubert,-73.674332,45.551364,4369
Gouin / Saint-Laurent,-73.676912,45.54961,5346
Gouin / Waverly,-73.640671,45.570928,5278
Lille / Port-Royal,-73.658189,45.559741,6017
Chambord / Fleury,-73.643268,45.567844,7325
Lorimier / Port-Royal,-73.558129,45.581384,4819
Du Quesne / Rosemont,-73.553073,45.571177,6456
Assomption / Accès stationnement pyramides Olympiques,-73.555584,45.571986,6778
Assomption / 5115 face Cité Nature,-73.556816,45.566132,7509
Viau / Piste cyclable 200 m au Nord de Sherbrooke,-73.612461,45.618368,9409
boulevard Albert-Hudon / boulevard Maurice-Duplessis,-73.614814,45.61713,14806
Langelier / Maurice-Duplessis,-73.619316,45.624762,17907
Albert-Hudon / Léger,-73.52223,45.59256,17887
rue Honoré-Beaugrand / avenue Souligny,-73.521578,45.59237,9338
rue Honoré-Beaugrand / avenue Dubuisson,-73.572595,45.519246,6494
Roy / Saint-Denis,-73.570221,45.518183,12147
Cherrier / Saint-Denis,-73.583134,45.488107,10967
Atwater / René-Lévesque,-73.584487,45.489323,36745
Atwater / Sainte-Catherine,-73.585775,45.490069,41345
Atwater / Maisonneuve,-73.579261,45.49567,34974
Guy / Maisonneuve,-73.577835,45.495033,34306
Guy / Sainte-Catherine,-73.574687,45.500891,39933
Maisonneuve / Peel,-73.571606,45.50135,18723
Mansfield / Sainte-Catherine,-73.575023,45.497887,28985
Montagne / Sainte-Catherine,-73.572919,45.500012,23039
Peel / Sainte-Catherine,-73.578625,45.490195,31838
Fort du / René-Lévesque,-73.575032,45.493814,24974
Guy / René-Lévesque,-73.570326,45.498737,31802
